Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 96.17%, -0.02%, Janeiro, 2022
OS Version, Windows 10 64 bit, 77.82%, -3.92%, Janeiro, 2022
OS Version, Windows 11 64 bit, 13.56%, +3.41%, Janeiro, 2022
OS Version, Windows 7 64 bit, 3.73%, +0.49%, Janeiro, 2022
OS Version, Windows 8.1 64 bit, 0.67%, -0.01%, Janeiro, 2022
OS Version, Windows 7, 0.21%, +0.02%, Janeiro, 2022
OS Version, Windows 10, 0.08%, 0.00%, Janeiro, 2022
OS Version, OSX, 2.77%, +0.07%, Janeiro, 2022
OS Version, MacOS 12.1.0 64 bit, 0.61%, +0.46%, Janeiro, 2022
OS Version, MacOS 12.0.1 64 bit, 0.52%, -0.27%, Janeiro, 2022
OS Version, MacOS 10.15.7 64 bit, 0.28%, -0.01%, Janeiro, 2022
OS Version, MacOS 11.6.0 64 bit, 0.24%, -0.09%, Janeiro, 2022
OS Version, MacOS 10.13.6 64 bit, 0.16%, 0.00%, Janeiro, 2022
OS Version, MacOS 10.14.6 64 bit, 0.15%, -0.02%, Janeiro, 2022
OS Version, MacOS 11.5.2 64 bit, 0.11%, -0.01%, Janeiro, 2022
OS Version, MacOS 11.4.0 64 bit, 0.08%, -0.01%, Janeiro, 2022
OS Version, MacOS 11.6.1 64 bit, 0.07%, -0.03%, Janeiro, 2022
OS Version, MacOS 11.6.2 64 bit, 0.07%, +0.07%, Janeiro, 2022
OS Version, MacOS 10.16.0 64 bit, 0.07%, -0.03%, Janeiro, 2022
OS Version, Linux, 1.06%, -0.05%, Janeiro, 2022
OS Version, Ubuntu 20.04.3 LTS 64 bit, 0.19%, -0.01%, Janeiro, 2022
OS Version, "Manjaro Linux" 64 bit, 0.13%, 0.00%, Janeiro, 2022
OS Version, "Arch Linux" 64 bit, 0.12%, -0.01%, Janeiro, 2022
OS Version, Ubuntu 21.10 64 bit, 0.07%, 0.00%, Janeiro, 2022
OS Version, Linux Mint 20.2 64 bit, 0.05%, -0.03%, Janeiro, 2022
System RAM, Less than 4 GB, 0.30%, +0.01%, Janeiro, 2022
System RAM, 4 GB, 7.52%, +0.33%, Janeiro, 2022
System RAM, 8 GB, 25.90%, +0.76%, Janeiro, 2022
System RAM, 12 GB, 3.57%, +0.14%, Janeiro, 2022
System RAM, 16 GB, 49.21%, -1.06%, Janeiro, 2022
System RAM, 24 GB, 1.07%, +0.03%, Janeiro, 2022
System RAM, 32 GB, 10.71%, -0.29%, Janeiro, 2022
System RAM, 64 GB, 1.01%, +0.03%, Janeiro, 2022
System RAM, More than 64 GB, 0.10%, 0.00%, Janeiro, 2022
System RAM, Other, 0.61%, +0.05%, Janeiro, 2022
Intel CPU Speeds, Below 1.4 Ghz, 1.41%, +0.09%, Janeiro, 2022
Intel CPU Speeds, 1.4 Ghz to 1.49 Ghz, 0.50%, +0.01%, Janeiro, 2022
Intel CPU Speeds, 1.5 Ghz to 1.69 Ghz, 0.65%, +0.01%, Janeiro, 2022
Intel CPU Speeds, 1.7 Ghz to 1.99 Ghz, 2.71%, +0.14%, Janeiro, 2022
Intel CPU Speeds, 2.0 Ghz to 2.29 Ghz, 3.60%, +0.09%, Janeiro, 2022
Intel CPU Speeds, 2.3 Ghz to 2.69 Ghz, 17.87%, +0.57%, Janeiro, 2022
Intel CPU Speeds, 2.7 Ghz to 2.99 Ghz, 13.85%, -0.89%, Janeiro, 2022
Intel CPU Speeds, 3.0 Ghz to 3.29 Ghz, 8.54%, -0.25%, Janeiro, 2022
Intel CPU Speeds, 3.3 Ghz to 3.69 Ghz, 15.39%, +0.11%, Janeiro, 2022
Intel CPU Speeds, 3.7 Ghz and above, 4.36%, -0.24%, Janeiro, 2022
Physical CPUs, 1 cpu, 0.19%, -0.02%, Janeiro, 2022
Physical CPUs, 2 cpus, 12.47%, +0.54%, Janeiro, 2022
Physical CPUs, 3 cpus, 0.54%, 0.00%, Janeiro, 2022
Physical CPUs, 4 cpus, 35.53%, +0.43%, Janeiro, 2022
Physical CPUs, 5 cpus, 0.02%, 0.00%, Janeiro, 2022
Physical CPUs, 6 cpus, 31.43%, -0.98%, Janeiro, 2022
Physical CPUs, 7 cpus, 0.00%, 0.00%, Janeiro, 2022
